tweet_id,favorite_count,retweet_count
892420643555336193,37627,8203
892177421306343426,32336,6069
891815181378084864,24365,4011
891689557279858688,40956,8358
891327558926688256,39160,9059
891087950875897856,19693,3005
890971913173991426,11513,1988
890729181411237888,63498,18230
890609185150312448,27079,4129
890240255349198849,31027,7125
890006608113172480,29850,7084
889880896479866881,27056,4813
889665388333682689,46784,9703
889638837579907072,26377,4381
889531135344209921,14711,2176
889278841981685760,24568,5198
888917238123831296,28338,4351
888804989199671297,24855,4134
888554962724278272,19289,3421
888078434458587136,21178,3369
887705289381826560,29387,5200
887517139158093824,45041,11312
887473957103951883,67059,17551
887343217045368832,32761,10076
887101392804085760,29747,5759
886983233522544640,34165,7509
886736880519319552,11717,3158
886680336477933568,21846,4316
886366144734445568,20614,3095
886267009285017600,116,4
886258384151887873,27244,6095
886054160059072513,0,105
885984800019947520,31716,6552
885528943205470208,35006,6215
885518971528720385,19892,3626
885311592912609280,0,17935
885167619883638784,21316,4240
884925521741709313,75177,17641
884876753390489601,27137,5436
884562892145688576,23620,4533
884441805382717440,26270,5485
884247878851493888,70932,19849
884162670584377345,19809,2884
883838122936631299,21304,3333
883482846933004288,44653,9612
883360690899218434,22070,3589
883117836046086144,36162,6449
882992080364220416,23292,3801
882762694511734784,27532,4739
882627270321602560,27175,5899
882268110199369728,43716,11227
882045870035918850,28552,4798
881906580714921986,23658,3288
881666595344535552,49228,10346
881633300179243008,124,7
881536004380872706,48098,15466
881268444196462592,22502,5026
880935762899988482,16598,2701
880872448815771648,20697,3710
880465832366813184,27768,6085
880221127280381952,26298,4087
880095782870896641,26887,4206
879862464715927552,21754,3388
879674319642796034,302,10
879492040517615616,22814,3081
879415818425184262,103012,42917
879376492567855104,16370,3018
879130579576475649,0,6602
879050749262655488,21950,4559
879008229531029506,18490,2613
878776093423087618,18906,4003
878604707211726852,29415,6979
878404777348136964,0,1248
878316110768087041,0,6447
878281511006478336,7537,1248
878057613040115712,40951,6602
877736472329191424,77560,18516
877611172832227328,0,78
877556246731214848,22141,3693
877316821321428993,26699,5041
877201837425926144,26432,5426
876838120628539392,20163,3245
876537666061221889,22948,4508
876484053909872640,18288,2324
876120275196170240,27241,4550
875747767867523072,24564,4165
875144289856114688,21388,4805
875097192612077568,26724,5895
875021211251597312,24863,4600
874680097055178752,27153,4524
874434818259525634,0,14317
874296783580663808,25437,4004
874057562936811520,22159,3852
874012996292530176,33699,10145
873580283840344065,23644,3841
873337748698140672,0,1547
873213775632977920,7058,1547
872967104147763200,26697,5283
872820683541237760,14401,3616
872620804844003328,20317,3609
872486979161796608,39793,8826
872122724285648897,33642,7957
871879754684805121,37094,10918
871762521631449091,19849,3413
871515927908634625,19783,3389
871166179821445120,0,5587
871102520638267392,20525,5410
871032628920680449,22230,3748
870804317367881728,32973,6087
870726314365509632,117,3
870656317836468226,12166,2597
870374049280663552,81204,25805
870308999962521604,21449,4085
870063196459192321,35951,8211
869772420881756160,41702,9887
869702957897576449,27757,6252
869596645499047938,15717,3092
869227993411051520,20134,3745
868880397819494401,64514,14292
868639477480148993,0,2062
868622495443632128,26321,5234
868552278524837888,9976,2062
867900495410671616,23843,4131
867774946302451713,33499,7269
867421006826221569,15904,2474
867072653475098625,0,119
867051520902168576,31836,7789
866720684873056260,19815,4767
866686824827068416,19046,3449
866450705531457537,120745,35033
866334964761202691,51897,14317
866094527597207552,0,8305
865718153858494464,25361,5585
865359393868664832,26170,4976
865006731092295680,27708,7646
864873206498414592,31947,8672
864279568663928832,14475,3011
864197398364647424,29838,8891
863907417377173506,20444,4123
863553081350529029,15180,4168
863471782782697472,0,2436
863432100342583297,23614,5224
863427515083354112,2233,96
863079547188785154,8705,1100
863062471531167744,8447,2436
862831371563274240,19028,5101
862722525377298433,16943,3523
862457590147678208,20372,4956
862096992088072192,73928,23266
861383897657036800,35917,10713
861288531465048066,17092,4164
861005113778896900,16621,3804
860981674716409858,0,2167
860924035999428608,0,819
860563773140209665,7477,2167
860524505164394496,23528,5302
860276583193509888,18254,3491
860184849394610176,16632,5884
860177593139703809,0,31033
859924526012018688,19498,4102
859851578198683649,15377,3531
859607811541651456,18559,1581
859196978902773760,89666,30403
859074603037188101,33826,13722
858860390427611136,0,8208
858843525470990336,15545,3514
858471635011153920,21517,4878
858107933456039936,15730,2924
857989990357356544,16150,2610
857746408056729600,34301,10762
857393404942143489,5911,1661
857263160327368704,20065,4567
857214891891077121,228,18
857062103051644929,0,173
857029823797047296,18976,4061
856543823941562368,16323,2927
856526610513747968,11885,1915
856330835276025856,0,688
856288084350160898,522,17
856282028240666624,27855,6435
855862651834028034,347,26
855860136149123072,5048,1044
855857698524602368,11929,2150
855851453814013952,45788,18081
855818117272018944,26785,5548
855459453768019968,30117,8376
855245323840757760,0,6105
855138241867124737,0,46
854732716440526848,23038,6243
854482394044301312,29581,7033
854365224396361728,19083,4798
854120357044912130,32327,7668
854010172552949760,16379,3227
853760880890318849,28938,5935
853639147608842240,35255,10413
853299958564483072,15738,3666
852936405516943360,0,2068
852912242202992640,9189,1889
852672615818899456,15158,2222
852553447878664193,16593,3619
852311364735569921,33654,10198
852226086759018497,20337,7006
852189679701164033,11649,1634
851953902622658560,0,9950
851861385021730816,0,23
851591660324737024,16519,3581
851464819735769094,24724,7325
851224888060895234,21077,5926
850753642995093505,31564,9601
850380195714523136,13337,2714
850333567704068097,3513,347
850145622816686080,16665,3960
850019790995546112,20883,5074
849776966551130114,31142,7890
849668094696017920,0,5137
849412302885593088,16243,3263
849336543269576704,11675,1962
849051919805034497,43411,8846
848690551926992896,25810,4489
848324959059550208,25359,4778
848213670039564288,8376,776
848212111729840128,16725,3194
847978865427394560,0,3394
847971574464610304,0,443
847962785489326080,24098,5308
847842811428974592,5601,1389
847617282490613760,7180,441
847606175596138505,19271,3547
847251039262605312,20997,4473
847157206088847362,20461,6104
847116187444137987,21986,3331
846874817362120707,20616,4097
846514051647705089,45857,12116
846505985330044928,14496,3214
846153765933735936,32586,9489
846139713627017216,31785,10359
846042936437604353,16451,3026
845812042753855489,30117,9132
845677943972139009,25880,5003
845397057150107648,7863,1890
845306882940190720,24018,5649
845098359547420673,0,8016
844979544864018432,14017,2700
844973813909606400,15562,3369
844580511645339650,17006,3289
844223788422217728,14049,2309
843981021012017153,15620,3073
843856843873095681,22112,4861
843604394117681152,17420,2892
843235543001513987,22219,6353
842846295480000512,15707,3792
842765311967449089,6968,1341
842535590457499648,18677,3692
842163532590374912,25267,6105
842115215311396866,14470,3195
841833993020538882,0,16113
841680585030541313,26508,8163
841439858740625411,13056,3879
841320156043304961,20451,5739
841314665196081154,16376,4939
841077006473256960,23667,5587
840761248237133825,0,1848
840728873075638272,0,17015
840698636975636481,181,2
840696689258311684,12716,1036
840632337062862849,9284,1848
840370681858686976,17038,4801
840268004936019968,19941,6047
839990271299457024,13894,2419
839549326359670784,28496,8208
839290600511926273,0,149
839239871831150596,28180,6903
838952994649550848,20323,4202
838921590096166913,11591,2186
838916489579200512,0,36
838831947270979586,0,11681
838561493054533637,11327,1397
838476387338051585,23385,5078
838201503651401729,0,10663
838150277551247360,1745,353
838085839343206401,147,1
838083903487373313,18274,3338
837820167694528512,35466,8305
837482249356513284,3984,466
837471256429613056,13264,2415
837366284874571778,21968,5617
837110210464448512,16638,2529
836989968035819520,13198,2431
836753516572119041,20004,4886
836677758902222849,13107,2353
836648853927522308,0,577
836397794269200385,0,29341
836380477523124226,15325,3147
836260088725786625,22106,4539
836001077879255040,19843,4543
835685285446955009,0,8645
835574547218894849,18512,3839
835536468978302976,0,1806
835309094223372289,0,22296
835297930240217089,17083,3183
835264098648616962,8034,1806
835246439529840640,2178,77
835172783151792128,27187,6092
835152434251116546,23361,3202
834931633769889797,11250,1751
834786237630337024,22059,5842
834574053763584002,14231,2690
834477809192075265,0,11343
834458053273591808,10008,1783
834209720923721728,21449,5082
834167344700198914,16405,3869
834089966724603904,10462,2259
834086379323871233,13604,2358
833863086058651648,13963,2549
833826103416520705,18755,3967
833732339549220864,0,227
833722901757046785,21585,3411
833479644947025920,15471,2188
833124694597443584,21048,5137
832998151111966721,13840,2357
832769181346996225,0,39
832757312314028032,17537,3853
832682457690300417,12369,3119
832645525019123713,3041,553
832636094638288896,16508,2963
832397543355072512,12433,2368
832369877331693569,17910,3394
832273440279240704,11783,2483
832215909146226688,0,6597
832215726631055365,0,9980
832088576586297345,69,2
832040443403784192,0,10329
832032802820481025,18599,4948
831939777352105988,25021,6531
831926988323639298,357,35
831911600680497154,28840,6947
831670449226514432,10909,1932
831650051525054464,7484,2068
831552930092285952,9374,2450
831322785565769729,9630,1635
831315979191906304,6821,1192
831309418084069378,12245,2612
831262627380748289,12431,2186
830956169170665475,8318,1589
830583320585068544,69800,17935
830173239259324417,0,6083
830097400375152640,10255,3198
829878982036299777,0,5363
829861396166877184,12782,2090
829501995190984704,33148,11343
829449946868879360,10935,2160
829374341691346946,36143,9950
829141528400556032,25571,7914
829011960981237760,55384,17338
828801551087042563,0,3624
828770345708580865,26703,6264
828708714936930305,38236,12004
828650029636317184,9928,1439
828409743546925057,6595,1228
828408677031882754,8014,1375
828381636999917570,13202,2378
828376505180889089,7717,1139
828372645993398273,13115,3160
828361771580813312,2296,181
828046555563323392,12308,3062
828011680017821696,10837,2294
827933404142436356,21045,5589
827653905312006145,16142,3215
827600520311402496,7741,1017
827324948884643840,16605,3267
827199976799354881,11069,2400
826958653328592898,22589,5363
826848821049180160,38164,10947
826615380357632002,0,4233
826598799820865537,5360,270
826598365270007810,10560,2516
826476773533745153,19310,4495
826240494070030336,13891,2777
826204788643753985,5107,999
826115272272650244,16402,3358
825876512159186944,10969,2005
825829644528148480,13344,2671
825535076884762624,54621,18437
825147591692263424,19185,4900
825120256414846976,0,1367
825026590719483904,6653,1367
824796380199809024,0,5892
824775126675836928,15698,3773
824663926340194305,10577,1856
824325613288833024,12370,11153
824297048279236611,15801,4149
824025158776213504,5011,631
823939628516474880,11164,2905
823719002937630720,0,12047
823699002998870016,13219,2588
823581115634085888,13676,2841
823333489516937216,733,27
823322678127919110,16531,4318
823269594223824897,0,10583
822975315408461824,18165,3699
822872901745569793,138891,47133
822859134160621569,13901,2457
822647212903690241,0,6890
822610361945911296,15531,3184
822489057087389700,19089,6890
822462944365645825,29853,15734
822244816520155136,36794,10583
822163064745328640,0,5160
821886076407029760,11918,2515
821813639212650496,0,3598
821765923262631936,8848,1784
821522889702862852,8441,1909
821421320206483457,0,6024
821407182352777218,12392,4670
821153421864615936,266,10
821149554670182400,9152,2166
821107785811234820,10084,2291
821044531881721856,13319,2466
820837357901512704,0,7216
820749716845686786,33167,10663
820690176645140481,12831,3467
820494788566847489,0,607
820446719150292993,0,2782
820314633777061888,3510,607
820078625395449857,20864,6770
820013781606658049,0,1275
819952236453363712,5598,1275
819924195358416896,13548,5207
819711362133872643,14169,3369
819588359383371776,10094,2122
819347104292290561,7605,1297
819238181065359361,2412,436
819227688460238848,24301,7216
819015337530290176,0,39656
819015331746349057,0,20430
819006400881917954,47592,20430
819004803107983360,91291,39656
818646164899774465,0,22505
818627210458333184,23383,8050
818614493328580609,10375,2781
818588835076603904,0,6626
818536468981415936,11496,2671
818307523543449600,0,8770
818259473185828864,11610,2464
818145370475810820,12941,2797
817908911860748288,5108,852
817827839487737858,54570,29341
817777686764523521,11291,2890
817536400337801217,12433,3279
817502432452313088,0,3659
817423860136083457,35954,16113
817415592588222464,5912,1039
817181837579653120,0,9161
817171292965273600,9214,2172
817120970343411712,12851,2826
817056546584727552,9046,1777
816829038950027264,0,5084
816816676327063552,10573,2190
816697700272001025,10338,2379
816450570814898180,32215,8770
816336735214911488,9075,2115
816091915477250048,9434,2331
816062466425819140,0,1125
816014286006976512,0,5735
815990720817401858,5271,1125
815966073409433600,23648,9161
815745968457060357,0,4467
815736392542261248,10391,2455
815639385530101762,8667,1774
815390420867969024,10933,4113
814986499976527872,8076,1386
814638523311648768,11894,2929
814578408554463233,0,6267
814530161257443328,9137,2006
814153002265309185,30400,9382
813944609378369540,0,3450
813910438903693312,9821,2027
813812741911748608,38443,15138
813800681631023104,8817,1896
813217897535406080,19724,7906
813202720496779264,9716,1951
813187593374461952,20974,4718
813172488309972993,9854,2071
813157409116065792,8206,2402
813142292504645637,8921,2552
813130366689148928,4723,481
813127251579564032,12533,3384
813112105746448384,10926,2978
813096984823349248,11146,3889
813081950185472002,10442,2996
813066809284972545,8419,2101
813051746834595840,22159,7939
812781120811126785,8028,2072
812709060537683968,7002,1543
812503143955202048,6421,1323
812466873996607488,8446,2091
812372279581671427,14477,3974
811985624773361665,7677,1522
811744202451197953,7981,1733
811647686436880384,5912,804
811627233043480576,13521,3373
811386762094317568,22116,6911
810984652412424192,5645,1554
810896069567610880,9582,1934
810657578271330305,11615,2867
810284430598270976,37441,12340
810254108431155201,15545,3624
809920764300447744,16390,4233
809808892968534016,0,5300
809448704142938112,7342,1586
809220051211603969,21103,6083
809084759137812480,14011,3807
808838249661788160,10707,3296
808733504066486276,8375,2350
808501579447930884,11942,2808
808344865868283904,44996,22505
808134635716833280,0,6436
808106460588765185,9274,2380
808001312164028416,13314,3841
807621403335917568,15424,3975
807106840509214720,125648,60298
807059379405148160,0,7927
807010152071229440,13817,4155
806629075125202948,79466,37722
806620845233815552,0,5992
806576416489959424,5148,2086
806542213899489280,10824,2557
806242860592926720,0,12647
806219024703037440,6811,1291
805958939288408065,0,5837
805932879469572096,8763,2073
805826884734976000,6974,1986
805823200554876929,0,8717
805520635690676224,6086,1783
805487436403003392,9293,2749
805207613751304193,8268,1845
804738756058218496,14540,4167
804475857670639616,6500,2181
804413760345620481,0,3495
804026241225523202,47211,17611
803773340896923648,10648,3002
803692223237865472,0,8057
803638050916102144,11630,4473
803380650405482500,8216,2012
803321560782307329,0,5752
803276597545603072,10628,2669
802952499103731712,9568,2178
802624713319034886,0,3168
802600418706604034,7537,1597
802572683846291456,9482,2708
802323869084381190,17201,6326
802265048156610565,7008,1483
802239329049477120,9610,2834
802185808107208704,0,286
801958328846974976,8181,1852
801854953262350336,1870,254
801538201127157760,8701,2223
801285448605831168,6415,901
801167903437357056,26000,6436
801127390143516673,0,4290
801115127852503040,8571,2267
800859414831898624,732,103
800855607700029440,0,1768
800751577355128832,11139,3005
800513324630806528,13938,3271
800459316964663297,10046,2339
800443802682937345,0,4678
800388270626521089,11825,3047
800188575492947969,0,4284
800141422401830912,16251,2782
800018252395122689,30094,14283
799774291445383169,0,5073
799757965289017345,8902,2347
799422933579902976,8544,2076
799308762079035393,0,5977
799297110730567681,10503,3003
799063482566066176,8560,2674
798933969379225600,13933,4853
798925684722855936,7900,1549
798705661114773508,0,7158
798701998996647937,0,8449
798697898615730177,0,7047
798694562394996736,0,5375
798686750113755136,0,2514
798682547630837760,0,5113
798673117451325440,0,6015
798665375516884993,0,4232
798644042770751489,0,2008
798628517273620480,0,2130
798585098161549313,0,6190
798576900688019456,0,6345
798340744599797760,0,3640
798209839306514432,11006,2771
797971864723324932,12359,3413
797545162159308800,15401,5264
797236660651966464,21190,7211
797165961484890113,243,29
796904159865868288,0,9639
796865951799083009,8136,2066
796759840936919040,12584,3310
796563435802726400,0,7922
796484825502875648,8030,1913
796387464403357696,11675,4521
796177847564038144,0,15531
796149749086875649,34277,15531
796125600683540480,5248,1939
796116448414461957,9667,2622
796080075804475393,8983,2511
796031486298386433,11492,3990
795464331001561088,52778,25860
795400264262053889,10708,3118
795076730285391872,17221,5892
794983741416415232,0,3661
794926597468000259,10904,2500
794355576146903043,0,11171
794332329137291264,10166,2883
794205286408003585,9772,3592
793962221541933056,17834,5300
793845145112371200,9778,2034
793614319594401792,0,3382
793601777308463104,8464,1767
793500921481273345,11347,2580
793286476301799424,26088,9980
793271401113350145,9187,2577
793256262322548741,21200,9050
793241302385262592,11152,3555
793226087023144960,10443,3108
793210959003287553,9479,3046
793195938047070209,16211,6109
793180763617361921,7358,2163
793165685325201412,9997,3019
793150605191548928,6548,1845
793135492858580992,6857,2710
793120401413079041,13470,4243
792913359805018113,15214,4357
792883833364439040,11997,4641
792773781206999040,7793,1822
792394556390137856,14271,4657
792050063153438720,7615,1959
791821351946420224,0,22809
791784077045166082,0,10434
791780927877898241,0,4135
791774931465953280,47851,24093
791672322847637504,12449,3382
791406955684368384,13906,4467
791312159183634433,9319,2755
791026214425268224,0,4457
790987426131050500,10469,2313
790946055508652032,17637,5084
790723298204217344,0,2509
790698755171364864,8690,2076
790581949425475584,21928,7795
790337589677002753,8291,2021
790277117346975746,13315,3450
790227638568808452,0,3873
789986466051088384,9796,2509
789960241177853952,0,4476
789903600034189313,11008,4474
789628658055020548,7963,1932
789599242079838210,7165,2100
789530877013393408,12463,3661
789314372632018944,9127,2504
789280767834746880,0,5360
789268448748703744,9662,2808
789137962068021249,10283,3037
788908386943430656,29050,13423
788765914992902144,29067,11171
788552643979468800,0,7800
788412144018661376,16504,5738
788178268662984705,7652,2298
788150585577050112,6509,1413
788070120937619456,0,3708
788039637453406209,6509,1433
787810552592695296,9182,3312
787717603741622272,10832,3019
787397959788929025,11495,3073
787322443945877504,8252,1897
787111942498508800,0,7293
786963064373534720,28165,8645
786729988674449408,0,2600
786709082849828864,19246,6597
786664955043049472,11276,2768
786595970293370880,9966,3356
786363235746385920,11528,3789
786286427768250368,8421,3098
786233965241827333,16189,5160
786051337297522688,1518,166
786036967502913536,0,7638
785927819176054784,12020,3424
785872687017132033,7069,1969
785639753186217984,8268,2400
785533386513321988,9626,2168
785515384317313025,6448,1358
785264754247995392,7686,1761
785170936622350336,12777,5252
784826020293709826,10726,3495
784517518371221505,9465,2743
784431430411685888,6029,1386
784183165795655680,21267,8717
784057939640352768,31575,12047
783839966405230592,31755,11681
783821107061198850,7765,2112
783695101801398276,11036,3489
783466772167098368,8942,2429
783391753726550016,17826,5946
783347506784731136,0,6046
783334639985389568,30864,12647
783085703974514689,8600,2397
782969140009107456,25480,7927
782747134529531904,7899,1507
782722598790725632,18270,5837
782598640137187329,8235,2022
782305867769217024,17596,6024
782021823840026624,0,6721
781955203444699136,11741,3630
781661882474196992,11028,2923
781655249211752448,4216,1207
781524693396357120,21918,5992
781308096455073793,7515,2745
781251288990355457,8899,2259
781163403222056960,10320,2952
780931614150983680,22851,7922
780858289093574656,7594,2159
780800785462489090,5805,1404
780601303617732608,12757,3598
780543529827336192,6650,1862
780496263422808064,0,3990
780476555013349377,0,125
780459368902959104,5587,1153
780192070812196864,9187,2412
780092040432480260,0,2479
780074436359819264,12904,5386
779834332596887552,20011,7638
779377524342161408,9315,3360
779124354206535695,0,19850
779123168116150273,12450,3937
779056095788752897,15609,4875
778990705243029504,21084,7820
778774459159379968,0,10738
778764940568104960,909,394
778748913645780993,7271,1429
778650543019483137,6083,1615
778624900596654080,4901,1087
778408200802557953,14399,4689
778396591732486144,0,13181
778383385161035776,6170,1196
778286810187399168,10949,3550
778039087836069888,8920,2827
778027034220126208,6904,1746
777953400541634568,0,3799
777885040357281792,6711,1773
777684233540206592,11837,3168
777641927919427584,0,4571
777621514455814149,9238,2680
777189768882946048,15104,4653
776819012571455488,0,14820
776813020089548800,5144,1304
776477788987613185,9312,3005
776249906839351296,0,9840
776218204058357768,31593,17193
776201521193218049,10119,2712
776113305656188928,12382,4678
776088319444877312,1928,162
775898661951791106,0,17693
775842724423557120,12332,2873
775733305207554048,14583,4290
775729183532220416,13599,4910
775364825476165632,7819,3197
775350846108426240,10701,4190
775085132600442880,16372,5073
774757898236878852,9000,1901
774639387460112384,7082,1853
774314403806253056,22929,5977
773985732834758656,11303,4163
773922284943896577,6740,1858
773704687002451968,6956,1742
773670353721753600,5601,1394
773547596996571136,23262,6626
773336787167145985,0,5461
773308824254029826,24466,8016
773247561583001600,9906,3459
773191612633579521,10515,4412
772877495989305348,9013,4156
772826264096874500,8430,2512
772615324260794368,0,3617
772581559778025472,6823,1813
772193107915964416,6341,1491
772152991789019136,3981,1199
772117678702071809,3954,790
772114945936949249,2858,504
772102971039580160,4216,996
